"","X","Range","Year","Province","Ecotype","Range_area","LOW.IMPACT.SEISMIC","PIPELINE","TOTAL","TRANSMISSION.LINE","ROADS_ALL","OTHER","CONVENTIONAL.SEISMIC_ALL","Conventional_seismic_den","Low_impact_seismic_den","Pipeline_den","Transmission_line_den","Roads_den","Other_den","Total_den","Seismic_all","Seismic_all_den"
"57",70,"Slave Lake",2016,"AB","B",1516.23,1440,848790,5086980,24080,361130,790650,3060890,2018.75045342725,0.949723986466433,559.802932272808,15.8814955514665,238.176266133766,521.457826319226,3355.01869769098,3062330,2019.70017741372
"58",76,"West Central",2016,"AB","SM_CG",12484.58,65990,1677630,11061580,29580,2084680,3283150,3937380,315.379452092101,5.28572046476533,134.376166438919,2.36932279660189,166.98038700541,262.976407696534,886.019393523851,4003370,320.665172556866
"59",82,"West Side Athabasca",2016,"AB","B",15707.12,6502620,3417280,34172640,239830,1313310,2389520,20365870,1296.60115921951,413.991871202359,217.562481218708,15.2688716964027,83.6123999816644,152.12973479543,2175.61462572388,26868490,1710.59303042187
"60",88,"Yates",2016,"AB","B",5223.44,0,31590,6025340,0,28860,524850,5440030,1041.46501156326,0,6.04773865498599,0,5.5250945736909,100.479760464368,1153.51951970349,5440030,1041.46501156326
"61",5,"Banff",2017,"AB","SM_CG",2262.43,0,0,205430,1950,60490,142740,260,0.114920682628855,0,0,0.861905119716411,26.7367388162286,63.0914547632413,90.8005993555602,260,0.114920682628855
"62",11,"Bischto",2017,"AB","B",14358.1,1353840,2088590,65305280,0,997430,4269230,56596190,3941.76040005293,94.2910273643449,145.464232732743,0,69.4681051114005,297.33948085053,4548.32324611195,57950030,4036.05142741728
"63",17,"Caribou Mountains",2017,"AB","B",20658.73,169770,0,10493690,0,551330,2493140,7279450,352.366771819952,8.2178333324459,0,0,26.6875069280638,120.682152291065,507.954264371527,7449220,360.584605152398
"64",23,"Chinchaga_AB",2017,"AB","B",17643.64,811500,4345980,68901520,340640,2025790,7676830,53700790,3043.63442010832,45.9939105536046,246.319920379241,19.3066736795809,114.817010548844,435.10466094298,3905.1760294361,54512290,3089.62833066193
"65",29,"Cold Lake",2017,"AB","B",6725.86,11909740,2913490,23956590,178770,790520,1212200,6951880,1033.60462453872,1770.73861186525,433.177318588255,26.5795006140479,117.534411956241,180.229740137321,3561.86272090112,18861620,2804.34323640397
"66",35,"East Side Athabasca",2017,"AB","B",13119.02,23192590,3832730,48866320,215510,1070440,3412300,17142750,1306.7096475194,1767.85994685579,292.150633202785,16.4272941119077,81.5945093459725,260.10326990888,3724.84530094474,40335340,3074.56959437519
"67",41,"Jasper",2017,"AB","SM_CG",3437.34,0,13640,244510,13890,123520,93190,280,0.0814583369698662,0,3.96818470096063,4.04091535896944,35.9347635089924,27.1110800793637,71.1334927589357,280,0.0814583369698662
"68",47,"Little Smoky",2017,"AB","B",3083.8,197360,1937600,14108110,30710,1131690,2239830,8570920,2779.33718139957,63.9989623192165,628.315714378364,9.95849276866204,366.979051819184,726.321421622673,4574.91082430767,8768280,2843.33614371879
"69",53,"Nipisi",2017,"AB","B",2104.36,192170,572080,5361920,18690,279910,737090,3561980,1692.66665399456,91.3199262483605,271.854625634397,8.88156018932122,133.014313140337,350.268014978426,2548.00509418541,3754150,1783.98658024292
"70",59,"Red Earth",2017,"AB","B",24702.03,2909060,2360220,51117120,75960,1699510,4528480,39543890,1600.83563982393,117.766029755449,95.5476128884954,3.07505091686797,68.8004184271495,183.32420452894,2069.34895634084,42452950,1718.60166957938
"71",65,"Richardson",2017,"AB","B",7073.9,3265300,47560,7106860,7290,254240,2085350,1447140,204.574562829557,461.598269695642,6.7233068038847,1.0305489192666,35.9405702653416,294.79495045166,1004.65938167065,4712440,666.172832525198
"72",71,"Slave Lake",2017,"AB","B",1516.23,24880,851100,5262780,24080,418320,796400,3148000,2076.20215930301,16.4091199883923,561.326447834431,15.8814955514665,275.894818068499,525.25012695963,3470.96416770543,3172880,2092.6112792914
"73",77,"West Central",2017,"AB","SM_CG",12484.58,74050,1703800,11211440,29580,2101250,3289370,4013390,321.467762631983,5.93131687249391,136.47235229379,2.36932279660189,168.307624285318,263.474622294062,898.023001174249,4087440,327.399079504477
"74",83,"West Side Athabasca",2017,"AB","B",15707.12,6610960,3478360,34656090,239830,1475180,2398640,20453120,1302.15596493819,420.889380102781,221.45116354876,15.2688716964027,93.9179174794615,152.710363198346,2206.39366096394,27064080,1723.04534504098
"75",89,"Yates",2017,"AB","B",5223.44,15600,28370,6036770,0,28860,524610,5439340,1041.33291470755,2.98653760740049,5.43128666166358,0,5.5250945736909,100.433813731947,1155.70773283507,5454940,1044.31945231495
"76",6,"Banff",2018,"AB","SM_CG",2262.43,0,0,205430,1950,60490,142740,260,0.114920682628855,0,0,0.861905119716411,26.7367388162286,63.0914547632413,90.8005993555602,260,0.114920682628855
"77",12,"Bischto",2018,"AB","B",14358.1,1353840,2092020,65344000,0,1032720,4269230,56596190,3941.76040005293,94.2910273643449,145.70312227941,0,71.925951205243,297.33948085053,4551.01998175246,57950030,4036.05142741728
"78",18,"Caribou Mountains",2018,"AB","B",20658.73,169770,0,10510690,0,558880,2496030,7286010,352.684313120894,8.2178333324459,0,0,27.0529698582633,120.82204472395,508.777161035553,7455780,360.90214645334
"79",24,"Chinchaga_AB",2018,"AB","B",17643.64,804430,4343400,68960210,345920,2030870,7678320,53757270,3046.83557361179,45.5931995892004,246.17369204994,19.6059316558261,115.104932995686,435.189110637034,3908.50244053948,54561700,3092.42877320099
"80",30,"Cold Lake",2018,"AB","B",6725.86,13430050,2892160,25743040,250920,846060,1211130,7112730,1057.51978185689,1996.77810718629,430.005976930831,37.3067533371197,125.792092014999,180.0706526749,3827.47187720232,20542780,3054.29788904319
"81",36,"East Side Athabasca",2018,"AB","B",13119.02,24164690,3871170,50446770,223490,1084490,3386720,17716210,1350.42175406395,1841.95846945885,295.080730115512,17.0355712545602,82.6654734881111,258.153429143335,3845.31542752431,41880900,3192.38022352279
"82",42,"Jasper",2018,"AB","SM_CG",3437.34,0,13640,244510,13890,123520,93190,280,0.0814583369698662,0,3.96818470096063,4.04091535896944,35.9347635089924,27.1110800793637,71.1334927589357,280,0.0814583369698662
"83",48,"Little Smoky",2018,"AB","B",3083.8,200210,1901310,14109970,30710,1161690,2242220,8573820,2780.27757960957,64.9231467669758,616.547765743563,9.95849276866204,376.707309164018,727.096439457812,4575.51397626305,8774030,2845.20072637655
"84",54,"Nipisi",2018,"AB","B",2104.36,179600,570200,5366820,18690,280080,743210,3575050,1698.87756847688,85.3466136972761,270.961242372978,8.88156018932122,133.095097796955,353.176262616663,2550.33359311144,3754650,1784.22418217415
"85",60,"Red Earth",2018,"AB","B",24702.03,2440940,2332600,51657650,75960,2318460,4519290,39970410,1618.10223694166,98.8153605189533,94.4294861596395,3.07505091686797,93.8570635692694,182.952170327702,2091.23096360906,42411350,1716.91759746061
"86",66,"Richardson",2018,"AB","B",7073.9,2902440,49260,7150010,7290,313230,2083780,1794020,253.611162159488,410.302661897963,6.96362685364509,1.0305489192666,44.279675992027,294.57300781747,1010.75926999251,4696460,663.913824057451
"87",72,"Slave Lake",2018,"AB","B",1516.23,28890,849950,5285630,33050,418320,807410,3148000,2076.20215930301,19.0538374784828,560.567987706351,21.797484550497,275.894818068499,532.511558272821,3486.03444068512,3176890,2095.25599678149
"88",78,"West Central",2018,"AB","SM_CG",12484.58,74050,1715340,11234780,29580,2113050,3289370,4013390,321.467762631983,5.93131687249391,137.396692559942,2.36932279660189,169.252790242043,263.474622294062,899.892507397125,4087440,327.399079504477
"89",84,"West Side Athabasca",2018,"AB","B",15707.12,7107450,3427920,35045410,394370,1495430,2314240,20306000,1292.78951201748,452.498612094388,218.23988102211,25.1077218484356,95.2071417293559,147.337003855576,2231.17987256735,27413450,1745.28812411187
"90",90,"Yates",2018,"AB","B",5223.44,15600,28370,6041360,0,28860,524610,5443930,1042.21164596511,2.98653760740049,5.43128666166358,0,5.5250945736909,100.433813731947,1156.58646409263,5459530,1045.19818357251
